period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2021,NM,New Mexico,1194686,16108,25377635,25393743,megawatthours,megawatthours,megawatthours,megawatthours
2021,KY,Kentucky,3505762,128540,74388446,74516986,megawatthours,megawatthours,megawatthours,megawatthours
2021,NH,New Hampshire,511267,,5772903,10867268,megawatthours,megawatthours,megawatthours,megawatthours
2021,NE,Nebraska,1521538,4262,32336908,32341170,megawatthours,megawatthours,megawatthours,megawatthours
2021,ND,North Dakota,1075629,,22863107,22863107,megawatthours,megawatthours,megawatthours,megawatthours
2021,NC,North Carolina,6383881,151528,135541549,135693077,megawatthours,megawatthours,megawatthours,megawatthours
2021,MT,Montana,703889,,12115692,14961561,megawatthours,megawatthours,megawatthours,megawatthours
2021,MS,Mississippi,2258954,,48015364,48015364,megawatthours,megawatthours,megawatthours,megawatthours
2021,MO,Missouri,3658477,,77763041,77763041,megawatthours,megawatthours,megawatthours,megawatthours
2021,MN,Minnesota,3132786,810388,65778780,66589168,megawatthours,megawatthours,megawatthours,megawatthours
2021,MI,Michigan,4695863,377830,90795892,99813281,megawatthours,megawatthours,megawatthours,megawatthours
2021,ME,Maine,545018,93148,6424326,11584674,megawatthours,megawatthours,megawatthours,megawatthours
2021,MD,Maryland,2790043,113318,30771800,59303974,megawatthours,megawatthours,megawatthours,megawatthours
2021,MA,Massachusetts,2389885,391326,17784051,50798388,megawatthours,megawatthours,megawatthours,megawatthours
2021,LA,Louisiana,4272730,,90819346,90819346,megawatthours,megawatthours,megawatthours,megawatthours
2021,NJ,New Jersey,3437708,686731,41750952,73070466,megawatthours,megawatthours,megawatthours,megawatthours
2020,US,United States,207053152,13944310,3144897974,3717674481,megawatthours,megawatthours,megawatthours,megawatthours
2020,TX,Texas,23773836,7592484,419270783,426863267,megawatthours,megawatthours,megawatthours,megawatthours
2020,TN,Tennessee,5291172,46477,94957411,95003888,megawatthours,megawatthours,megawatthours,megawatthours
2020,SD,South Dakota,707086,,12695845,12695845,megawatthours,megawatthours,megawatthours,megawatthours
2020,SC,South Carolina,4273821,,76737176,76737176,megawatthours,megawatthours,megawatthours,megawatthours
2020,RI,Rhode Island,409439,33277,4067070,7351541,megawatthours,megawatthours,megawatthours,megawatthours
2020,PA,Pennsylvania,7781649,43788,51023267,139720837,megawatthours,megawatthours,megawatthours,megawatthours
2020,OR,Oregon,2841483,6168,48234702,51019313,megawatthours,megawatthours,megawatthours,megawatthours
2020,OK,Oklahoma,3469714,,62299305,62299305,megawatthours,megawatthours,megawatthours,megawatthours
2020,OH,Ohio,7942849,198436,44059538,142615199,megawatthours,megawatthours,megawatthours,megawatthours
2020,NY,New York,7819844,775949,73309132,140406632,megawatthours,megawatthours,megawatthours,megawatthours
2020,NV,Nevada,2129409,81297,33082904,38233899,megawatthours,megawatthours,megawatthours,megawatthours
2020,NM,New Mexico,1379945,17226,24759929,24777155,megawatthours,megawatthours,megawatthours,megawatthours
2020,NJ,New Jersey,4009888,599782,39997879,71998221,megawatthours,megawatthours,megawatthours,megawatthours
2020,NH,New Hampshire,595568,,5564975,10693529,megawatthours,megawatthours,megawatthours,megawatthours
2020,NE,Nebraska,1736076,2595,31168941,31171536,megawatthours,megawatthours,megawatthours,megawatthours
2020,ND,North Dakota,1215218,,21819452,21819452,megawatthours,megawatthours,megawatthours,megawatthours
2020,NC,North Carolina,7262030,1452,130389528,130390980,megawatthours,megawatthours,megawatthours,megawatthours
2020,MT,Montana,812255,,11664564,14584179,megawatthours,megawatthours,megawatthours,megawatthours
2020,MS,Mississippi,2588783,,46482040,46482040,megawatthours,megawatthours,megawatthours,megawatthours
2020,MO,Missouri,4217488,,75725712,75725712,megawatthours,megawatthours,megawatthours,megawatthours
2020,MN,Minnesota,3567474,594042,63460564,64054606,megawatthours,megawatthours,megawatthours,megawatthours
